"Date","Price","Open","High","Low","Change %"
"Apr 22, 2021","119.910","120.510","120.510","119.710","0.09%"
"Apr 20, 2021","119.800","119.450","119.970","119.430","0.00%"
"Apr 19, 2021","119.800","119.690","120.090","119.645","0.71%"
"Apr 16, 2021","118.960","119.640","119.640","118.860","-0.76%"
"Apr 15, 2021","119.870","120.295","120.520","119.865","-0.19%"
"Apr 12, 2021","120.100","119.945","120.230","119.600","0.43%"
"Apr 09, 2021","119.580","119.640","119.930","119.250","0.20%"
"Apr 08, 2021","119.340","119.010","119.615","118.705","0.05%"
"Apr 07, 2021","119.280","117.690","119.295","117.625","1.52%"
"Apr 06, 2021","117.490","117.175","117.495","117.135","0.20%"
"Apr 05, 2021","117.260","117.490","117.540","117.250","0.25%"
"Mar 31, 2021","116.970","117.690","117.750","116.920","-0.37%"
"Mar 30, 2021","117.410","116.565","117.495","116.440","1.20%"
"Mar 26, 2021","116.020","116.040","116.050","115.805","-0.15%"
"Mar 25, 2021","116.190","116.305","116.310","116.120","0.09%"
"Mar 24, 2021","116.090","116.025","116.305","116.005","0.19%"
"Mar 23, 2021","115.870","115.800","115.905","115.640","0.08%"
"Mar 22, 2021","115.780","115.970","115.970","115.755","-0.20%"
"Mar 19, 2021","116.010","116.135","116.135","115.945","-0.03%"
"Mar 18, 2021","116.050","115.975","116.170","115.890","-0.02%"
"Mar 17, 2021","116.070","116.120","116.185","116.020","-0.01%"
"Mar 16, 2021","116.080","115.990","116.230","115.800","0.10%"
"Mar 15, 2021","115.960","116.345","116.415","115.825","-0.42%"
"Mar 12, 2021","116.450","116.270","116.550","116.200","-0.17%"
"Mar 10, 2021","116.650","116.745","116.935","116.620","-0.02%"
"Mar 09, 2021","116.670","117.110","117.205","116.675","-0.45%"
"Mar 08, 2021","117.200","117.015","117.270","116.685","0.33%"
"Mar 05, 2021","116.820","116.760","116.935","116.385","0.25%"
"Mar 04, 2021","116.530","116.840","116.855","116.155","0.16%"
"Mar 03, 2021","116.340","117.210","117.220","116.300","-0.88%"
"Mar 02, 2021","117.370","117.350","117.580","117.310","-0.25%"
"Mar 01, 2021","117.660","117.970","117.970","117.095","0.10%"
"Feb 26, 2021","117.540","116.865","117.610","116.730","1.45%"
"Feb 25, 2021","115.860","115.720","116.040","115.705","0.13%"
"Feb 24, 2021","115.710","115.775","115.865","115.625","-0.19%"
"Feb 23, 2021","115.930","115.775","115.950","115.690","-0.07%"
"Feb 22, 2021","116.010","116.135","116.140","115.655","-0.20%"
"Feb 18, 2021","116.240","116.410","116.440","116.250","-0.12%"
"Feb 17, 2021","116.380","116.660","116.670","116.360","0.07%"
"Feb 16, 2021","116.300","116.250","116.470","116.220","0.00%"
"Feb 15, 2021","116.300","116.185","116.310","116.110","-0.09%"
"Feb 12, 2021","116.400","116.480","116.530","116.370","-0.14%"
"Feb 11, 2021","116.560","116.490","116.595","116.310","0.02%"
"Feb 10, 2021","116.540","116.590","116.605","116.495","-0.07%"
"Feb 09, 2021","116.620","116.610","116.670","116.560","-0.10%"
"Feb 08, 2021","116.740","116.585","116.750","116.515","0.05%"
"Feb 05, 2021","116.680","116.775","116.785","116.490","-0.03%"
"Feb 04, 2021","116.720","116.680","116.750","116.630","-0.01%"
"Feb 03, 2021","116.730","116.750","116.770","116.670","-0.01%"
"Feb 02, 2021","116.740","116.825","116.880","116.680","-0.08%"
"Feb 01, 2021","116.830","116.625","117.025","116.550","0.09%"
"Jan 29, 2021","116.720","116.810","116.825","116.710","-0.12%"
"Jan 28, 2021","116.860","117.015","117.050","116.865","0.16%"
"Jan 27, 2021","116.670","116.650","116.690","116.455","-0.03%"
"Jan 25, 2021","116.700","116.730","116.745","116.615","-0.05%"
"Jan 22, 2021","116.760","116.855","116.950","116.755","-0.02%"
"Jan 21, 2021","116.780","116.735","116.815","116.695","-0.06%"
"Jan 20, 2021","116.850","116.985","117.030","116.810","-0.18%"
"Jan 19, 2021","117.060","117.055","117.290","117.030","-0.15%"
"Jan 18, 2021","117.240","117.150","117.295","117.110","0.28%"
"Jan 15, 2021","116.910","116.930","117.050","116.785","0.04%"
"Jan 14, 2021","116.860","117.110","117.110","116.730","-0.15%"
"Jan 13, 2021","117.030","117.080","117.150","116.970","-0.15%"
"Jan 12, 2021","117.210","117.485","117.515","117.190","-0.17%"
"Jan 11, 2021","117.410","117.560","117.610","117.400","0.20%"
"Jan 08, 2021","117.180","117.430","117.535","117.175","-0.12%"
"Jan 07, 2021","117.320","116.985","117.330","116.935","0.31%"
"Jan 06, 2021","116.960","117.080","117.105","116.885","-0.10%"
"Jan 05, 2021","117.080","117.055","117.230","116.945","0.21%"
"Jan 04, 2021","116.830","116.695","116.850","116.650","-0.14%"
"Jan 01, 2021","116.990","116.960","117.005","116.835","0.08%"
"Dec 31, 2020","116.900","117.040","117.075","116.815","-0.33%"
"Dec 30, 2020","117.290","117.385","117.385","117.210","-0.16%"
"Dec 29, 2020","117.480","117.495","117.505","117.350","-0.11%"
"Dec 28, 2020","117.610","117.630","117.780","117.530","-0.05%"
"Dec 24, 2020","117.670","117.865","117.880","117.655","-0.30%"
"Dec 23, 2020","118.020","118.250","118.250","117.975","-0.10%"
"Dec 22, 2020","118.140","118.320","118.320","118.130","0.08%"
"Dec 21, 2020","118.040","118.010","118.110","117.830","0.30%"
"Dec 18, 2020","117.690","117.700","117.710","117.595","-0.06%"
"Dec 17, 2020","117.760","117.655","117.765","117.430","0.04%"
"Dec 16, 2020","117.710","117.570","117.770","117.570","-0.09%"
"Dec 15, 2020","117.820","117.825","117.875","117.750","0.08%"
"Dec 14, 2020","117.720","117.830","117.830","117.575","-0.10%"
"Dec 11, 2020","117.840","117.850","117.930","117.690","-0.01%"
"Dec 10, 2020","117.850","117.910","118.040","117.800","0.13%"
"Dec 09, 2020","117.700","117.735","117.785","117.625","0.05%"
