Effective date,Effective date,Effective time,Petrol,Diesel,Kerosene,LPG,ATF (DP), ATF (DF) 
2032.06.15,1975.10.01,,,,,,2.45,
2033.04.01,1976.07.16,,,,,,2.82,
2034.07.16,1977.11.01,,,,,,3.04,
2036.03.11,1979.06.25,,,,,,3.11,
2036.06.15,1979.10.01,,,,,,5.29,
2037.02.03,1980.05.16,,,,,,5.69,
2037.03.24,1980.07.07,,,,,,6.07,
2038.03.24,1981.07.08,,,,,,6.23,
2038.07.16,1981.11.01,,,,,,6.69,
2038.10.19,1982.02.01,,,,,,6.73,
2039.12.22,1983.04.05,,,,,,, $356.00 
2041.01.18,1984.04.30,,,,,,7.25, $356.00 
2041.04.17,1984.08.01,,,,,,8.19, $383.00 
2041.10.19,1985.02.01,,,,,,8.36, $383.00 
2042.08.16,1985.12.01,,,,,,9.26, $383.00 
2042.10.19,1986.02.01,,,,,,9.71, $383.00 
2043.04.01,1986.07.16,,10.90,7.50,5.75,,,
2043.10.20,1987.04.01,,12.90,,,,,
2046.03.11,1989.07.02,,,,,,43.65, $383.00 
2046.04.01,1989.07.16,,19.00,9.10,6.90,,,
2047.04.01,1990.07.16,,,7.50,6.00,,,
2047.06.28,1990.10.14,,20.00,10.00,8.50,,13.26, $489.00 
2048.02.28,1991.06.11,,20.00,10.00,8.00,,,
2048.04.10,1991.07.26,,25.00,10.00,8.00,,,
2048.10.05,1992.01.19,,,,,,15.57, $341.47 
2049.04.25,1992.08.09,,28.00,11.25,9.25,,,
2049.11.01,1993.02.12,,29.00,11.50,9.75,,,
2049.11.05,1993.02.16,,,,,,16.66, $282.21 
2050.10.22,1994.02.04,,29.00,12.00,9.75,,,
2051.02.05,1994.05.19,,29.00,12.00,9.00,,,
2051.09.12,1994.12.27,,29.00,12.00,8.50,,,
2052.11.18,1996.03.01,,,,,,19.30, $282.21 
2052.12.22,1996.04.04,,31.00,13.50,9.50,380.00,,
2053.03.27,1996.07.11,,34.00,14.00,9.50,,,
2053.05.10,1996.09.26,,,,,,20.67, $282.21 
2053.08.11,1996.11.26,,,,,,20.67, $302.61 
2054.01.13,1997.04.25,,,,,,23.53, $329.60 
2054.02.31,1997.06.13,,39.00,17.50,11.00,,,
2054.03.11,1997.06.25,,39.00,15.50,10.50,395.00,,
2054.03.27,1997.07.11,,,,,465.00,,
2055.04.01,1998.07.17,,40.00,16.50,10.50,,,
2055.10.02,1999.01.16,,40.00,15.50,10.50,,,
2056.07.10,1999.10.27,,40.00,23.00,13.00,,,
2057.02.26,2000.06.08,,,,,,28.80, $360.00 
2057.06.28,2000.10.14,,47.00,27.50,26.00,550.00,,
2057.08.01,2000.11.16,,47.00,27.50,22.00,,,
2057.10.04,2001.01.17,,46.00,26.50,17.00,,,
2059.08.07,2002.11.23,,52.00,26.50,17.00,650.00,28.80, $360.00 
2059.12.11,2003.03.25,,56.00,35.50,28.00,700.00,34.00, $360.00 
2060.01.07,2003.04.20,,56.00,33.50,27.00,,,
2060.01.25,2003.05.08,,54.00,31.00,24.00,,33.00, $360.00 
2061.04.28,2004.08.12,,56.00,31.00,24.00,725.00,46.00, $609.27 
2061.06.01,2004.09.17,,56.00,35.00,28.00,750.00,,
2061.09.26,2005.01.10,,62.00,41.00,36.00,850.00,48.00, $660.12 
2061.11.01,2005.02.12,,62.00,41.00,34.00,800.00,,
2062.03.07,2005.06.21,,,,,900.00,,
2062.05.02,2005.08.18,,67.00,46.00,39.00,,53.00, $660.12 
2062.11.05,2006.02.17,,67.00,52.50,47.65,,55.00, $931.83 
2062.11.19,2006.03.03,,67.25,53.15,47.65,,,
2063.06.10,2006.09.26,,,,,,55.00, $931.83 
2063.07.14,2006.10.31,,,,,,68.00, $996.49 
2063.12.27,2007.04.10,,,,,,68.00, $996.49 
2064.04.20,2007.08.05,,,,,,72.00, $996.49 
2064.07.07 ,2007.10.25,24:00 hrs,73.50,56.25,51.20,,,
2064.07.09,2007.10.27,,,,,"1,100.00",,
2064.07.22,2007.11.08,,,,,,," $1,100.00 "
2064.08.19,2007.12.06,,,,,,80.00," $1,180.00 "
2064.9.11 ,2007.12.26,24:00 hrs,80.00,,,,,
2064.10.07 ,2008.01.21,24:00 hrs,,61.39,61.00,,,
2064.10.09 ,2008.01.23,16:15 hrs,,56.25,51.20,,,
2065.02.01,2008.05.14,,,,,,90.00," $1,330.00 "
2065.02.22,2008.06.04,,,,,,100.00," $1,500.00 "
2065.02.27,2008.06.09,24:00 hrs,,,,"1,200.00",,
2065.02.27,2008.06.09,24:00 hrs,99.62,69.53,64.53,,,
2065.07.09 ,2008.10.25,24:00 hrs,95.00,,,,," $1,400.00 "
2065.07.16 ,2008.11.01,24:00 hrs,90.00,65.00,,,95.00," $1,300.00 "
2065.8.18 ,2008.12.03,24:00 hrs,85.50,60.50,60.50,,90.00," $1,200.00 "
2065.9.11 ,2008.12.26,24:00 hrs,80.50,59.50,59.50,"1,150.00",85.00," $1,000.00 "
2065.10.20 ,2009.02.02,24:00 hrs,77.50,57.50,57.50,"1,125.00",80.00, $900.00 
2065.11.20 ,2009.03.03,24:00 hrs,,55.00,55.00,,70.00, $750.00 
2066.08.02,2009.11.17,,,58.00,58.00,,,
2066.09.24,2010.01.08,,,,,"1,250.00",,
2066.10.23,2010.02.06,,,,,,75.00, $805.00 
2066.11.05 ,2010.02.17,24:00 hrs,,59.00,59.00,,,
2066.12.01 ,2010.03.14,10:00 hrs,80.00,61.00,61.00,,,
